sbtpt,time
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2249,0.30
962,0.30
962,0.30
962,0.31
962,0.30
962,0.30
962,0.30
2675,0.30
2675,0.30
2675,0.31
2675,0.30
2675,0.30
2675,0.30
2675,0.30
2675,0.30
2675,0.30
2675,0.30
2675,0.30
2976,0.30
2976,0.30
2976,0.30
2976,0.30
2976,0.30
2976,0.30
2976,0.30
2976,0.30
2976,0.30
2976,0.30
2976,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.31
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
1155,0.30
1763,0.30
1763,0.30
1763,0.31
1925,0.31
1925,0.30
1925,0.30
3028,0.30
3028,0.30
3028,0.30
3028,0.30
3028,0.31
3028,0.30
3028,0.30
3028,0.30
3028,0.30
3028,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.31
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3019,0.30
3019,0.30
3019,0.30
3019,0.30
3019,0.30
3019,0.30
3019,0.30
3019,0.31
3019,0.30
3019,0.30
3049,0.31
3049,0.30
3049,0.30
3049,0.30
3049,0.30
3049,0.30
3049,0.30
3049,0.30
3049,0.31
3049,0.30
3033,0.30
3033,0.30
3033,0.30
3033,0.29
3033,0.30
3033,0.30
3033,0.30
3033,0.30
3033,0.30
3033,0.30
3033,0.31
3064,0.31
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
2898,0.30
2898,0.30
2898,0.31
2898,0.30
2898,0.30
2898,0.30
2898,0.31
2898,0.30
2898,0.30
