lbtput,time
2310,0.31
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2887,0.30
2887,0.30
2887,0.30
2887,0.31
2887,0.30
2887,0.30
2887,0.30
2887,0.30
2887,0.30
2887,0.30
2999,0.30
2999,0.31
2999,0.30
2999,0.31
2999,0.30
2999,0.30
2999,0.31
2999,0.30
2999,0.30
2999,0.30
2999,0.31
3042,0.31
3042,0.30
3042,0.30
3042,0.30
3042,0.31
3042,0.30
3042,0.30
3042,0.30
3042,0.31
3042,0.31
3080,0.30
3080,0.31
3080,0.30
3080,0.30
3080,0.31
3080,0.30
3080,0.30
3080,0.31
3080,0.31
3080,0.30
3015,0.30
3015,0.31
3015,0.30
3015,0.30
3015,0.31
3015,0.30
3015,0.30
3015,0.30
3015,0.31
3015,0.30
3080,0.31
3080,0.31
3080,0.30
3080,0.31
3080,0.30
3080,0.31
3080,0.31
3080,0.30
3080,0.31
3080,0.30
2767,0.30
2767,0.31
2767,0.30
1757,0.30
1540,0.31
1540,0.30
1735,0.30
1742,0.30
1742,0.31
1742,0.30
1742,0.30
1769,0.30
1769,0.30
1769,0.30
1769,0.30
1769,0.32
1769,0.31
1769,0.31
1769,0.31
1769,0.31
1769,0.31
1925,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.31
3049,0.30
3049,0.30
3049,0.31
3049,0.31
3049,0.31
3049,0.30
3049,0.30
3049,0.31
3049,0.31
3049,0.31
3048,0.31
3048,0.30
3048,0.30
3048,0.30
3048,0.30
3048,0.30
3048,0.30
3048,0.30
3048,0.32
3048,0.30
3062,0.30
3062,0.30
3062,0.30
3062,0.31
3062,0.30
3062,0.30
3062,0.30
3062,0.30
3062,0.30
3062,0.31
3062,0.30
3065,0.30
3065,0.31
3065,0.31
1540,0.31
1540,0.30
1540,0.31
1540,0.30
1879,0.30
1911,0.31
1911,0.30
1911,0.31
1911,0.32
1896,0.31
1896,0.31
1896,0.31
1896,0.31
1540,0.30
1540,0.30
1540,0.31
1540,0.30
1540,0.31
1540,0.30
1540,0.32
2310,0.31
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2835,0.30
3026,0.30
3026,0.31
3026,0.31
3026,0.30
3026,0.30
3026,0.31
3026,0.30
3026,0.31
3026,0.31
3026,0.30
2718,0.30
2718,0.30
2718,0.31
2718,0.30
2718,0.30
2718,0.30
2718,0.30
2718,0.30
2718,0.30
2718,0.30
2718,0.29
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
1861,0.30
1861,0.30
1861,0.31
1861,0.30
1925,0.30
1884,0.30
1884,0.30
1406,0.30
1406,0.30
1406,0.31
1775,0.30
1775,0.30
1775,0.31
1775,0.30
1925,0.30
1925,0.30
1925,0.30
1925,0.31
1795,0.31
770,0.30
1896,0.30
1896,0.30
1896,0.31
1896,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.31
2310,0.31
2310,0.30
2310,0.31
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.32
3065,0.30
3065,0.31
3065,0.30
3065,0.30
3065,0.30
3065,0.31
3065,0.30
3065,0.30
3065,0.31
3065,0.31
3017,0.30
3017,0.30
3017,0.30
3017,0.31
3017,0.30
3017,0.30
3017,0.30
3017,0.30
3017,0.30
3017,0.31
3017,0.31
3047,0.31
3047,0.30
3047,0.30
3047,0.30
1540,0.31
962,0.30
962,0.30
962,0.30
2310,0.30
2310,0.30
1661,0.31
1661,0.31
1661,0.31
1786,0.29
1786,0.30
1786,0.31
1540,0.30
770,0.30
1155,0.31
1155,0.31
1155,0.30
1925,0.29
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3062,0.31
3062,0.30
3062,0.31
3062,0.30
3062,0.30
3062,0.30
3062,0.30
3062,0.31
3062,0.30
3062,0.31
3050,0.31
3050,0.31
3050,0.30
3050,0.30
3050,0.30
3050,0.30
3050,0.31
3050,0.30
3050,0.31
3050,0.30
2975,0.30
2975,0.30
2975,0.31
2975,0.30
2975,0.31
2975,0.30
2975,0.30
2975,0.30
2975,0.31
2975,0.31
2975,0.30
3005,0.31
3005,0.31
3005,0.31
1925,0.31
1925,0.30
1925,0.30
1925,0.32
1155,0.30
1894,0.31
1846,0.30
1846,0.30
1846,0.30
1846,0.31
770,0.30
1525,0.30
950,0.30
770,0.30
1155,0.31
385,0.30
1925,0.30
1925,0.30
0,0.30
753,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.31
2310,0.30
2310,0.31
2310,0.31
2310,0.31
2310,0.30
2310,0.30
2310,0.31
3045,0.30
3045,0.30
3045,0.31
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.31
3064,0.31
3064,0.31
3064,0.31
3064,0.31
3064,0.31
3064,0.30
3064,0.30
3064,0.30
3064,0.31
3064,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2887,0.30
2887,0.30
2887,0.30
2887,0.31
2887,0.30
2887,0.30
2887,0.30
2887,0.30
2887,0.30
2887,0.30
2999,0.30
2999,0.31
2999,0.30
2999,0.31
2999,0.30
2999,0.30
2999,0.31
2999,0.30
2999,0.30
2999,0.30
2999,0.31
3042,0.31
